title,description
Rocket Raccoon & Groot (2016) #4,"FRIDAY NIGHT FIGHTS STARTS NOW! It’s the best of times when Rocket and Groot are recruited as replacements in an intergalactic football league. These little giants might engage in some necessary roughness, but if they can learn all the right moves these leatherheads might be invincible!\n"
Rocket Raccoon & Groot (2016) #4,"FRIDAY NIGHT FIGHTS STARTS NOW! It’s the best of times when Rocket and Groot are recruited as replacements in an intergalactic football league. These little giants might engage in some necessary roughness, but if they can learn all the right moves these leatherheads might be invincible!\n"
Scarlet (2010) #10,From the Eisner Award-winning team that brought you DAREDEVIL and INTERNATIONAL IRON MAN comes the shocking conclusion to Book 2 of their creator-owned comic SCARLET. The wait is over.
Scarlet (2010) #9,"From the award-winning team that brought you Daredevil and Spider-Woman comes another explosive chapter of one of the most controversial creator-owned comics being published today. Scarlet has declared war on a city that refuses to stop the corruption that is strangling it from within, and now she&#39;ll be forced to make her most dangerous move yet: letting them capture her."
Scarlet Witch (2015) #5,"WANDA’S journey takes her to Spain! There she finds an old vineyard converted from a haunted church where witches used to be burned at the stake. But to unravel the mystery of the hauntings, she must first fight off the ghosts of the SPANISH INQUISITION!"
Scarlet Witch (2015) #5,"WANDA’S journey takes her to Spain! There she finds an old vineyard converted from a haunted church where witches used to be burned at the stake. But to unravel the mystery of the hauntings, she must first fight off the ghosts of the SPANISH INQUISITION!"
Scarlet Witch (2015) #7,"WANDA MAXIMOFF heads to HONG KONG to solve her next magical mystery. An ancient warlock, the DARK TONGI, has taken hold of the city. The Scarlet Witch must seek the help of a young witch, THE WU. But the Wu has her own battle to fight...\n"
Silk (2015) #7,"SPIDER-WOMEN, PART 3! Silk comes face-to-face with the Earth-65 Cindy Moon and her family. That’s not all she finds digging into S.I.L.K., and her discoveries change everything about this event!"
Silk (2015) #8,SPIDER-WOMEN: PART 6! SILK: CRIMINAL?! Cindy Moon learns how her Earth-65 counterpart has affected her life in the Marvel Universe. Both Mockingbird AND Black Cat confront Silk – and they ain’t happy!
Silk (2015) #9,"With Silk’s life turned upside-down by the events of SPIDER-WOMEN, she’s not sure what to do. I’m pretty sure running more robberies with Black Cat is the wrong choice.\n"
Silver Surfer (2016) #3,"Special 50th Anniversary issue! In 1966, the heroes of Earth met Norrin Radd of Zenn-La, The Silver Surfer. In 2016, for the greatest stakes of all time, he will have to fight them all. Not a dream. Not a hoax. This is really happening. A major turning point in the life of Norrin Radd that will profoundly change the saga of the Silver Surfer!"
Silver Surfer (2016) #3,"Special 50th Anniversary issue! In 1966, the heroes of Earth met Norrin Radd of Zenn-La, The Silver Surfer. In 2016, for the greatest stakes of all time, he will have to fight them all. Not a dream. Not a hoax. This is really happening. A major turning point in the life of Norrin Radd that will profoundly change the saga of the Silver Surfer!"
Silver Surfer (2016) #3 (Epting Variant),null
Silver Surfer (2016) #3 (Epting Variant),null
Silver Surfer (2016) #4,"Massive fallout from the events of Silver Surfer’s 50th Anniversary issue. There is a price to pay for what Norrin Radd has done. Some actions can never be taken back...or forgiven. Will any of Earth’s heroes stand by the Silver Surfer’s side in this, his greatest moment of need? A mythic tale in the Mighty Marvel Manner! Guest starring The Avengers, The Thing and major characters from around the Marvel Universe."
Spider-Gwen (2015) #7,"SPIDER-WOMEN, PART 2! Trapped in Earth-65, Spider-Gwen, Jessica Drew and Spider-Woman search for a way to get Jessica home. Along the way, Jessica gets a tour of Gwen’s life and meets THE MARY JANES!"
Spider-Gwen (2015) #7,"SPIDER-WOMEN, PART 2! Trapped in Earth-65, Spider-Gwen, Jessica Drew and Spider-Woman search for a way to get Jessica home. Along the way, Jessica gets a tour of Gwen’s life and meets THE MARY JANES!"
Spider-Gwen (2015) #9,“WEAPON OF CHOICE” STARTS NOW! Gwen is dealing with the effects of the SPIDER-WOMEN crossover but has to face FRANK CASTLE head on! And The Mary Janes are all over this issue!\n
Spider-Man & Silk: The Spider(fly) Effect Infinite Comic (2016) #6,Spidey and Silk’s time jaunt takes them all the way to their beginning...the science fair where they were bitten by the radioactive spider! Plus: Chronosaurus Rex revealed!
Spider-Man (2016) #3,Miles finds himself face-to-face with his toughest villain yet- HIS GRANDMOTHER!!! And an Avengers-study session (date?) with Ms. Marvel goes horribly wrong!
Spider-Man (2016) #4,"Miles is just finding his feet in the all new marvel universe; the media is growing obsessed with his skin color and now he has to share his own book with a hot new mutant who goes by the name of… wait for it… All this and the Queenpin of New York, the Black Cat, has set her sights on this new Spider-Man. She has put out a hit on his head and now no one is safe!"
Spider-Man (2016) #5,BLACK CAT makes her move against SPIDER-MAN!!!
Spider-Man 2099 (2015) #11,"SINISTER SIX 2099! Stranded in a 2099 he doesn’t recognize, Miguel wakes to find himself held captive by a group of villains calling themselves the SINISTER SIX! But how is it that this timeline is so different than the one Miguel left behind? Can Spidey escape the clutches of his captors and find a way back to the past so he can fix the future?\n"
Spider-Man/Deadpool (2016) #4,"Double date, Deadpool style! Spider-Man finally agrees to hang out with Deadpool outside of adventures, but he might regret it when he discovers that his date is a friend of Deadpool’s wife, Shiklah, demon queen of Monster Metropolis. Who’s Deadpool’s date? Guest-star THOR!"
Spider-Man/Deadpool (2016) #4,"Double date, Deadpool style! Spider-Man finally agrees to hang out with Deadpool outside of adventures, but he might regret it when he discovers that his date is a friend of Deadpool’s wife, Shiklah, demon queen of Monster Metropolis. Who’s Deadpool’s date? Guest-star THOR!"
Spider-Man/Deadpool (2016) #5,"What the heck does this cover image mean?! Gotta grab this mag to find out, True Believers. PLUS! The truth about that weirdness at Parker Industries begins to be revealed!\n"
Spider-Man/Deadpool (2016) #6,"Deadpool goes Hollywood! See the M w/the M on the set of his own MOVIE! And he brings his pal Spidey along, as he has lots of experience selling out! All-Star Special Issue—written by Scott Aukerman of TV’s Comedy Bang Bang!\n"
Spider-Woman (2015) #6,"SPIDER-WOMEN, PART 4! Reeling from the revelations of SILK #7, Jessica Drew takes matters into her own hands, damn the consequences! And has Gwen found a way to get Jess and Silk home?"
Spider-Woman (2015) #7,SPIDER-WOMEN: PART 7! What’s happened in the Marvel Universe during Jessica’s time on Earth-65? What’s happened in HER HOME?! WHO’S THAT WITH HER BABY?!
Spider-Woman (2015) #8,"Even though, she’s a mom now, Jessica Drew is still kicking ass and taking names as SPIDER-WOMAN! This time, she’s tangling with the baddest fish in the sea – TIGER SHARK! FUN TIGER SHARK FACT: Did you know Tiger Shark has the DNA of both Namor the Submariner AND a tiger shark? Think about that for a second.\n"
Spider-Women Event Omega (2016) #1,"THE TITANTIC CONCLUSION TO THE SPIDER-EVENT OF 2016! Silk is out of commission and Spider-Woman and Spider-Gwen return to Earth-65 for an impossible final battle. They are out-gunned, out-manned, out-numbered and out-planned. But it’s a fight they have to fight. Don’t miss this conclusion that will shake all three Spider-Women to the core!\n"
Spidey (2015) #4,Spidey squares off with DR. DOOM!
Spidey (2015) #5,"It's pumpkin bombs and razor bats galore, as Spidey squares off with his arch-nemesis.. THE GREEN GOBLIN!"
Spidey (2015) #7,Spidey comes face to face with the voluminous villain Klaw! Guest-starring THE BLACK PANTHER!!!\n
Squadron Supreme (2015) #7,"As the Squadron gets closer to the answer—who is the cabal of alien races on Earth and what threat do they pose to the planet – things get personal for Doctor Spectrum as she confronts the man who helped destroy her universe and save her life...BLACK BOLT! Also, the Squadron’s Nighthawk vs. the Nighthawk of the Marvel Universe??"
Squadron Supreme (2015) #8,"As Doctor Spectrum learns the reason she was rescued from her dying Earth by Black Bolt…even though her hunt for answers takes her to the Inhuman home base and the throne of Medusa herself. And in the aftermath of Nighthawk’s battle with Kyle Richmond, the Nighthawk, the mystery of who the alien Myriad truly is deepens...a mystery that leads to their treacherous ex-teammate Warrior Woman.\n"
Star Wars (2015) #18,"With the Rebel base completely overtaken, our only hope is...Leia...Sana...and APHRA?!? Can they save the Imperial prisoners? Do they want to?\n\nStar Wars © Lucasfilm Ltd. & TM. All rights reserved. Used under authorization. Text and illustrations for Star Wars are © 2015 Lucasfilm Ltd.\n"
Star Wars (2015) #18,"With the Rebel base completely overtaken, our only hope is...Leia...Sana...and APHRA?!? Can they save the Imperial prisoners? Do they want to?\n\nStar Wars © Lucasfilm Ltd. & TM. All rights reserved. Used under authorization. Text and illustrations for Star Wars are © 2015 Lucasfilm Ltd.\n"
Star Wars (2015) #19,Will Leia be able to save a prison full of Imperial forces? Or will the mastermind of the takeover strike back against the Empire? Find out as “Rebel Jail” concludes!\n
Star Wars (2015) #20,Another dive into the journal of Obi-Wan Kenobi! Jabba has hired bounty hunter Black Krrsantan to find out who’s been thwarting his men! The old hermit of the dune wastes might know something about that.\n
Star Wars: Poe Dameron (2016) #1,"AN ALL-NEW ONGOING SERIES SPINNING OUT OF STAR WARS: THE FORCE AWAKENS! Poe Dameron, former Republic flyer turned Resistance fighter, is the best pilot in the galaxy. Hand-picked for the resistance by General Leia Organa to lead a squadron on a top secret and vital mission...Poe sets off investigating sites of historical importance to the Force. Revealing backstory leading directly into the holidays’ greatest adventure, follow Poe and his X-Wing squadron on covert missions against the First Order brought to you by writer Charles Soule (Star Wars: Lando, Daredevil) and artist Phil Noto (Star Wars: Chewbacca, Black Widow)!"
Star Wars: Poe Dameron (2016) #1,"AN ALL-NEW ONGOING SERIES SPINNING OUT OF STAR WARS: THE FORCE AWAKENS! Poe Dameron, former Republic flyer turned Resistance fighter, is the best pilot in the galaxy. Hand-picked for the resistance by General Leia Organa to lead a squadron on a top secret and vital mission...Poe sets off investigating sites of historical importance to the Force. Revealing backstory leading directly into the holidays’ greatest adventure, follow Poe and his X-Wing squadron on covert missions against the First Order brought to you by writer Charles Soule (Star Wars: Lando, Daredevil) and artist Phil Noto (Star Wars: Chewbacca, Black Widow)!"
Star Wars: The Force Awakens Adaptation (2016) #1,"It’s true—all of it! The biggest movie of the year jumps from the big screen to the comic book page! It’s been three decades since the Rebel Alliance destroyed the Death Star and toppled the Galactic Empire...but now, on the remote planet of Jakku...there is a stirring in the Force. A young scavenger named Rey...a deserting stormtrooper named Finn...an ace pilot name Poe...and a dark apprentice named Kylo Ren...Their lives are about to collide as the awakening begins. Written by Chuck Wendig (STAR WARS: AFTERMATH) and drawn by Luke Ross (HERCULES), take us on our first steps back into the Saga of a lifetime!"
Starbrand & Nightmask (2015) #5,"College is stressful, so Adam and Kevin hit the school gym for a little workout, a little flirting and a little confrontation with a cosmically-enhanced LIBRA, who’s weighing Starbrand and Nightmask’s ultimate value to ETERNITY!!!"
Starbrand & Nightmask (2015) #5,"College is stressful, so Adam and Kevin hit the school gym for a little workout, a little flirting and a little confrontation with a cosmically-enhanced LIBRA, who’s weighing Starbrand and Nightmask’s ultimate value to ETERNITY!!!"
Starbrand & Nightmask (2015) #6,"Time for Starbrand’s final evaluation: Does he survive or place out of existence, once and for all? It’s Starbrand vs. Libra. Also Nightmask vs. Cipher! And for good measure, Starbrand vs. Starbrand! All this, plus a major step forward in Kevin’s relationship with Imani Greene!\n"
Star-Lord (2015) #6,"STAR-KITTY ‘TIL THE END OF THE UNIVERSE! (OH, WAIT, THAT HAPPENED…) The engagement of the galaxy is over! But Peter Quill and Kitty Pryde still have to share a ship, and work, and friends, and…yeesh. This is going to get awkward, isn’t it? Well, fortunately they’re surrounded by caring, communicative teammates like…Drax…and Groot…and Rocket…Hoo boy. This is going to be VERY awkward."
Star-Lord (2015) #7,"STAR-LORD VS. STAR-LADY! Turns out working with your ex might not go super smooth. Who knew? Will Peter and Kitty be able to make it out of this mission alive? Who is more dangerous, their enemy…or each other???"
Star-Lord (2015) #8,"MAKING UP IS HARD TO DO! Especially when you and your ex are being held captive by THE COLLECTOR! And he wants to acquire the story of your breakup for his personal use! So GROSS! WHAT DOES THAT EVEN MEAN?! Can Kitty and Peter come together to defeat this cosmic conundrum, or will their house divided be unable to stand?!\n"
The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #2,"Spider-Man & Silk have gone back in time...and accidentally stopped their own origins from happening! Thankfully, a friendly Forest Hills local is there to help out...A nice man named BEN."
The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #3,Spidey and Silk’s time jaunt takes them all the way to their beginning...the science fair where they were bitten by the radioactive spider! Plus: Chronosaurus Rex revealed!
The Amazing Spider-Man & Silk: The Spider(Fly) Effect (2016) #4,Spidey and Silk’s time jaunt takes them all the way to their beginning...the science fair where they were bitten by the radioactive spider! Plus: Chronosaurus Rex revealed!\n
The Astonishing Ant-Man (2015) #8,It’s the Superior Foes of Ant-Man! Scott’s weird new rogues gallery has a new job-- thanks to the dastardly Power Broker and his HENCH app. Why is it so dastardly? It keeps crashing! Hate when apps do that.
The Astonishing Ant-Man (2015) #9,"It’s Ant-Man’s Eleven! To pull off the job of a lifetime and stop a mastermind criminal, Scott has to pull together a new gang of... yeah, you guessed it. Criminals. It’s a vicious cycle. Wait, are you allowed to count yourself in the eleven? This is confusing...\n"
The Infinity Entity (2016) #4,"With his memories fully restored, an omnipotent Adam Warlock confronts the surprisingly unexpected true architect of all the universe’s recent ills and destruction. This should make for a short story. But all is still not as it appears and our tale ends with a very unforeseen twist."
The Infinity Entity (2016) #4,"With his memories fully restored, an omnipotent Adam Warlock confronts the surprisingly unexpected true architect of all the universe’s recent ills and destruction. This should make for a short story. But all is still not as it appears and our tale ends with a very unforeseen twist."
The Punisher (2016) #1,"FRANK CASTLE LOSES CONTROL! A by-the-numbers drug bust is about to take Frank Castle by surprise…and he HATES surprises. The horrible fallout threatens to send The Punisher into the heart of darkness, but Castle won’t make that journey alone: A DEA agent is on his trail and attempting to get into his head…but what horrors will she find there, and will she survive the experience? First-time Punisher writer Becky Cloonan and quintessential Punisher artist Steve Dillon are forcing Frank Castle out of his comfort zone and taking him to the edge of the world he thought he knew!"
The Punisher (2016) #1,"FRANK CASTLE LOSES CONTROL! A by-the-numbers drug bust is about to take Frank Castle by surprise…and he HATES surprises. The horrible fallout threatens to send The Punisher into the heart of darkness, but Castle won’t make that journey alone: A DEA agent is on his trail and attempting to get into his head…but what horrors will she find there, and will she survive the experience? First-time Punisher writer Becky Cloonan and quintessential Punisher artist Steve Dillon are forcing Frank Castle out of his comfort zone and taking him to the edge of the world he thought he knew!"
The Punisher (2016) #2,"ROAD TRIP\nFrank Castle’s hunt has taken him on the road, and bodies will be left in his wake. But with a DEA agent closing in on him, things could get complicated…\n"
The Totally Awesome Hulk (2015) #5,"Amadeus Cho loves being the Hulk -- and he’s determined to be the greatest hero the world’s ever seen. But if the Hulk is driven by rage, what lies within Amadeus? Unfortunately for him, the Enchantress, Amora of Asgard, is hell-bent on finding out!"
The Totally Awesome Hulk (2015) #5,"Amadeus Cho loves being the Hulk -- and he’s determined to be the greatest hero the world’s ever seen. But if the Hulk is driven by rage, what lies within Amadeus? Unfortunately for him, the Enchantress, Amora of Asgard, is hell-bent on finding out!"
The Totally Awesome Hulk (2015) #6,"The Hulk finds himself caught between the Enchantress and the Mighty Thor! When the monster in the trunk breaks loose, the Ten Realms may never be the same! Don’t miss the shocking reveal of a side of Amadeus you’ve never seen before!\n"
The Totally Awesome Hulk (2015) #7,CIVIL WAR II TIE-IN! BRUCE BANNER’S fate during the 8-month gap post-SECRET WARS is revealed! Was he really cured by AMADEUS CHO? Did he survive? Has Amadeus made a disastrous miscalculation?\n
The Unbeatable Squirrel Girl (2015) #9,"The comic that got TWO #1s in its first year now reaches a new milestone: its very first #9! In Part 2 of “I Kissed A Squirrel And I Liked It,” Squirrel Girl’s date with a chump gets interrupted by MOLE MAN, who is a man who lives underground and can’t see that well! Hence the name!! Squirrel Girl is really good at empathizing with bad guys and talking them down, but what happens when she’s TOO good at that? Buy this comic to find out, because we show exactly that taking place! Spoiler alert: there’s punches AND jokes. Not a dream! Not an imaginary story! ONE the following three things WILL ACTUALLY OCCUR in this issue! 1) A pleasant visit to a coffee shop with friends; 2) A man with fishy powers suggests using fish to solve a problem, big surprise; 3) SQUIRREL GIRL USES HER TAIL TO KNOCK THE SMIRK RIGHT OFF A DUDE’S FACE!! Haha whoa I hope it’s the third one\n"
Thunderbolts (2016) #1,FROM THE ASHES OF AVENGERS: STANDOFF! They’re a renegade team rampaging across the Marvel Universe under the direction of the Winter Soldier! But are the Thunderbolts heroes or villains—and do even they know for sure?
Thunderbolts (2016) #2,"A group of reformed (are they reformed?) super criminals protect a facet of immense power while hunting down and destroying bizarre, mind-bending threats to the world -- What could go wrong? A gut-wrenching battle for leadership; an alien threat; and the Thunderbolts caught red-handed by...well, read our pulse-pounding second issue and find out!\n"
Thunderbolts (2016) #2,"A group of reformed (are they reformed?) super criminals protect a facet of immense power while hunting down and destroying bizarre, mind-bending threats to the world -- What could go wrong? A gut-wrenching battle for leadership; an alien threat; and the Thunderbolts caught red-handed by...well, read our pulse-pounding second issue and find out!\n"
Timely Comics: The Totally Awesome Hulk (2016) #1,Reprinting TOTALLY AWESOME HULK #1-3.
True Believers: Chewbacca (2016) #1,Reprinting CHEWBACCA #1
True Believers: Darth Vader (2016) #1,Reprinting DARTH VADER #1
True Believers: Droids (2016) #1,Reprinting DROIDS #1
True Believers: Kanan (2016) #1,Reprinting KANAN - THE LAST PADAWAN #1
True Believers: Kanan (2016) #1,Reprinting KANAN - THE LAST PADAWAN #1
True Believers: Lando (2016) #1,Reprinting LANDO #1
True Believers: Shattered Empire (2016) #1,Reprinting JOURNEY TO STAR WARS: THE FORCE AWAKENS - SHATTERED EMPIRE #1
True Believers: Star Wars Classic (2016) #1,null
True Believers: Star Wars Covers (2016) #1,Reprinting all your favorite Star Wars covers and variants
True Believers: Vader Down (2016) #1,Reprinting STAR WARS: VADER DOWN #1
Ultimates (2015) #6,"Once he was the Devourer of Worlds -- but now, at long last, his endless hunger has been cured. But is there a hidden price? What does it mean to wring new life from death? What does it mean to be...Galactus? Special guest artist Christian Ward (ODY-C) takes us into the life of the Lifebringer -- for the most cosmic issue yet!"
Ultimates (2015) #8,Thanos has come to Earth. It’s the Ultimates’ job to stop him. And they won’t be enough. And even if they win this battle -- will the ultimate superteam survive the cost of victory? Plus: the origin of the Ultimates... and of their greatest enemy!\n
Uncanny Avengers (2015) #10,Hank Pym’s journey leads him to a dark discovery. Something wicked this way comes...from outer space! Plus: the eagerly awaited return of Janet Van Dyne\n
Uncanny Avengers (2015) #8,"A STANDOFF tie-in! It only took 8 issues, but the Uncanny Avengers have lost their minds. To escape a trap, one Avenger is willing to make the ultimate sacrifice. The Wrecker returns! AND SO DOES...?"
Uncanny Avengers (2015) #9,"THE MAN WHO FELL TO EARTH starts now! ULTRON IS BACK! BUT THIS TIME, HANK PYM IS IN CONTROL--OR IS HE? The taming of Ultron creates unexpected complications and divides the Unity Squad. And…Rogue meets Gambit. We promise."
Uncanny Avengers: Unity Vol. 1 - Lost Future (Trade Paperback),"In a world filled with ever greater conflict, the Avengers' Unity Squad has a bigger job than ever! The elderly Steve Rogers has assembled a new roster aimed at promoting peace between humans, mutants...and Inhumans! Spider-Man, Rogue, the Human Torch, Quicksilver, Doctor Voodoo and the Inhuman known as Synapse all make the cut - as does Deadpool! But what role exactly does Wade Wilson play in encouraging inter-species harmony? As Boston faces devastation, the all-new Uncanny Avengers fight a world gone mad, and the final member of the team makes a bloody entrance! But how far can Steve's squad go in achieving unity when some of them can't even work together? And seriously - Deadpool? An Avenger? Prepare to believe! COLLECTING: UNCANNY AVENGERS (2015B) #1-6."
Uncanny Avengers: Unity Vol. 1 - Lost Future (Trade Paperback),"In a world filled with ever greater conflict, the Avengers' Unity Squad has a bigger job than ever! The elderly Steve Rogers has assembled a new roster aimed at promoting peace between humans, mutants...and Inhumans! Spider-Man, Rogue, the Human Torch, Quicksilver, Doctor Voodoo and the Inhuman known as Synapse all make the cut - as does Deadpool! But what role exactly does Wade Wilson play in encouraging inter-species harmony? As Boston faces devastation, the all-new Uncanny Avengers fight a world gone mad, and the final member of the team makes a bloody entrance! But how far can Steve's squad go in achieving unity when some of them can't even work together? And seriously - Deadpool? An Avenger? Prepare to believe! COLLECTING: UNCANNY AVENGERS (2015B) #1-6."
Uncanny Inhumans (2015) #10,"A spotlight on everyone’s favorite Inhuman, Reader!! After the events of issue 7, Reader’s best friend has vanished. What lengths is he willing to go to save those he loves? Seeing is believing…\n"
Uncanny Inhumans (2015) #11,"CIVIL WAR II TIE-IN! After what Iron Man did in CIVIL WAR II #2, Medusa must act. Inhumans vs. Stark Industries – ‘Nuff said!\n"
Uncanny Inhumans (2015) #8,"How did Medusa and the Human Torch get together? Find out here! A catastrophe involving a collapsing building leaves Marvel’s newest It-Couple trapped in the rubble. But just as you see Medusa and Johnny’s Meet-Cute, so does her sister Crystal. Did we mention that the Torch was her first love? Uh-Oh."
Uncanny Inhumans (2015) #9,"How did Medusa and the Human Torch get together? Find out here! A catastrophe involving a collapsing building leaves Marvel’s newest It-Couple trapped in the rubble.But just as you see Medusa and Johnny’s Meet-Cute, so does her sister Crystal. Did we mention that the Torch was her first love? Uh-Oh.\n"
Uncanny Inhumans (2015) #9,"How did Medusa and the Human Torch get together? Find out here! A catastrophe involving a collapsing building leaves Marvel’s newest It-Couple trapped in the rubble.But just as you see Medusa and Johnny’s Meet-Cute, so does her sister Crystal. Did we mention that the Torch was her first love? Uh-Oh.\n"
Uncanny X-Men (2016) #6,"“APOCALYPSE WARS” CONTINUES! The first time original X-Man Archangel met Apocalypse, he was transformed into the homicidal Horseman of Death. Breaking free of Apocalypse’s grasp, Archangel eventually returned to the X-Men and formed a relationship with his teammate, Psylocke. Now, years later, Psylocke has found a vacant, drone-like Archangel in the guise of Death once more. Fearing he’s again fallen under Apocalypse’s sway, Psylocke and her team of X-Men embark on a mission to save Archangel’s life. But little do they know that they are about to discover a far more horrifying truth than they could have imagined…"
Uncanny X-Men (2016) #7,"“APOCALYPSE WARS” CONTINUES! Fearing their teammate Archangel has once more fallen under the sway of the villainous Apocalypse, Psylocke and Magneto have embarked on a mission to save his life. But they’re about to make a discovery that will make them doubt everything they thought they knew! Meanwhile, Sabretooth and M make a horrifying discovery of their own in the Morlock Tunnels beneath New York City…"
Uncanny X-Men (2016) #8,"“APOCALYPSE WARS” CONTINUES! Fearing their teammate Archangel has once more fallen under the sway of the villainous Apocalypse, Psylocke and Magneto have embarked on a mission to save his life. But little did Psylocke suspect that the mission would bring her face-to-face with her former flame, Fantomex! (And believe me, things did NOT end on good terms!) Meanwhile, Sabretooth and M make a horrifying discovery in the Morlock tunnels beneath New York City. A ghost from M’s past has resurfaced…and she’s determined to make this run-in their last!\n"
Uncanny X-Men (2016) #9,"“APOCALYPSE WARS” CONTINUES! Fearing their teammate Archangel has once more fallen under the sway of the villainous Apocalypse, Psylocke and Magneto have embarked on a mission to save his life. But little did Psylocke suspect that the mission would bring her face-to-face with her former flame, Fantomex! (And believe me, things did NOT end on good terms!) Meanwhile, Sabretooth and M make a horrifying discovery in the Morlock tunnels beneath New York City. A ghost from M’s past has resurfaced…and she’s determined to make this run-in their last!\n"
Venom: Space Knight (2015) #7,"THE HUNT FOR BLACK OCTOBER STARTS NOW! Venom’s made a solid go as newly-recruited Agent of the Cosmos, aiding the hopeless and oppressed across the galaxy. He’s even picked up some powerful and powefully odd allies (sad cyborg 803, strong serpent-tressed Iqa, and MERCENARY SPACE PANDA Pik Rollo). But even they might not be enough to stop what’s coming. A fearsome new foe has set sights on Agents of the Cosmos, so it looks like Venom’s training is about to get INTENSIVE."
Venom: Space Knight (2015) #8,"A symbiotic relationship has become one of HUNTER and PREY. Since separating from Flash, the Venom symbiote has left a trail of destruction in his wake.\n"
Venom: Space Knight (2015) #9,VENOM VERSUS VENOM! The time has come--Flash is face to face with the Klyntar. Perhaps things will end amicably?…Perhaps not.\n
Vision (2015) #7,"A NEW STORY STARTS NOW! Once upon a time a robot and a witch fell in love. What followed was a tale of the dead and the dying, of the hopeful and the lost, of the wronged and the avenged. And in the end, after both had fallen, the witch and the robot rose from their dirt and eyed each other across a field of blood and bone. Forty-five years in the making, this is the story of Scarlet Witch and the Vision. Before family, there was love. And war."
Vision (2015) #7,"A NEW STORY STARTS NOW! Once upon a time a robot and a witch fell in love. What followed was a tale of the dead and the dying, of the hopeful and the lost, of the wronged and the avenged. And in the end, after both had fallen, the witch and the robot rose from their dirt and eyed each other across a field of blood and bone. Forty-five years in the making, this is the story of Scarlet Witch and the Vision. Before family, there was love. And war."
Vision (2015) #8,"“LITTLE BETTER THAN A BEAST” STARTS NOW! The most critically acclaimed series of the year continues. The Avengers know. They know his wife killed the Reaper and the boy. They know Vision lied to protect her. They know that those lies will lead to more lies, those deaths will lead to more deaths. And they know they need to act, they need to find a way to prove that he has done what he has done so the Avengers can do what they have to do--finally and forever dismantle the Vision and his family.\n"
Vote Loki (2016) #1,"Loki is many things -- god, trickster, brother, liar, son, villain, even hero. Now he wants to add one more thing to the list: President of the United States. That’s right, the God of Lies has set his sights on becoming the ruler of the free world, but is this just another scheme? One thing’s for certain -- with Loki’s winning smile and silver tongue on the campaign trail, this election just got a lot more interesting…"
Web Warriors (2015) #6,"With the threat of the ELECTROVERSE sated (for now), what’s an average day in the life of an interdimensional Spider-Man or Spider-Woman really like? Could it involve… MURDER?!"
Web Warriors (2015) #7,"SPIDERS VS. STARTS NOW! Still dealing with the casualties of ELECTROVERSE, the Web-Warriors struggle to keep their team together. Not only is the team struggling to stay together, so is the WEB OF LIFE AND DESTINY! The latest special guest star from across the Spider-Verse is one of the event’s breakout hits: SPIDER-PUNK!"
Web Warriors (2015) #7,"SPIDERS VS. STARTS NOW! Still dealing with the casualties of ELECTROVERSE, the Web-Warriors struggle to keep their team together. Not only is the team struggling to stay together, so is the WEB OF LIFE AND DESTINY! The latest special guest star from across the Spider-Verse is one of the event’s breakout hits: SPIDER-PUNK!"
Web Warriors (2015) #8,"The Web of Life and Destiny is damaged, and even worse – it’s getting TANGLED! How are the Web Warriors supposed to repair REALITY ITSELF?! Join us for this insane web-hopping romp that features A GIANT SPIDER-MAN ROBOT FROM THE FURTHEST CORNER OF THE MULTIVERSE AS A GUEST STAR!\n"
Weirdworld (2015) #5,"Morgan Le Fay’s Lava Men forces clashes with Jennifer Kale’s Man-Thing army! Becca, Goleta and Catbeast must get through the battle, with the help of the DOG FIGHTERS!"
Weirdworld (2015) #6,"Witness: the spectacular heart of WEIRDWORLD, the site of EARTHFALL! Becca...in the clutches of Morgan Le Fay? How did Morgan Le Fay build the Kingdom of the Torch? Learn her secret WEIRDWORLD origins here!\n"
X-Men '92 (2016) #2,"PONDER: The machinations of the Fenris Twins! FEAR: The terror of Alpha Red! RELISH: The X-Men of the ’90s, back in action!"
X-Men '92 (2016) #2,"PONDER: The machinations of the Fenris Twins! FEAR: The terror of Alpha Red! RELISH: The X-Men of the ’90s, back in action!"
X-Men '92 (2016) #3,If you only buy one X-book this month ...DRACULA COMMANDS IT BE THIS ISSUE!
X-Men '92 (2016) #4,The X-Men face the danger of THE DARKHOLD...in a new “virtual” realm called “CYBERSPACE”! Plus: they’re still surrounded by VAMPIRES!\n
X-Men: Worst X-Man Ever (2016) #3,Bailey struggles to fit in among his hated and fear compatriates. PLUS: Meet possibly the most powerful X-Man ever...Miranda? Max Bemis’s Mutant Masterpiece continues here!
X-Men: Worst X-Man Ever (2016) #4,Bailey has never fit in with the X-Men...but Magneto wants him for a very special mission. The X-citing X-mini from Say Anything frontman Max Bemis continues!\n
X-Men: Worst X-Man Ever (2016) #5,What becomes of the worst X-Man ever? Journey decades into the future and find out! Is it possible for things to actually get worse for Bailey?\n
